"agegrp"	"gender"	"year"	"cause_code"	"rate"	"relrank"
"75-84"	"M"	2000	"C00-C97"	1760.6	1
"75-84"	"M"	2000	"E10-E14"	199.6	7
"75-84"	"M"	2000	"G30-G31"	131.5	9
"75-84"	"M"	2000	"I20-I25"	1736.8	2
"75-84"	"M"	2000	"I30-I51"	422.7	5
"75-84"	"M"	2000	"I60-I69"	490.8	3
"75-84"	"M"	2000	"I70-I78"	142.5	8
"75-84"	"M"	2000	"J09-J18"	199.8	6
"75-84"	"M"	2000	"J40-J47"	488.5	4
"75-84"	"M"	2000	"N17-N19"	125.1	10
"85+"	"F"	1999	"C00-C97"	1436.5	4
"85+"	"F"	1999	"F01-F09"	532.6	7
"85+"	"F"	1999	"G30-G31"	654.6	6
"85+"	"F"	1999	"I10-I15"	393.7	9
"85+"	"F"	1999	"I20-I25"	4108.8	1
"85+"	"F"	1999	"I30-I51"	1439.2	3
"85+"	"F"	1999	"I60-I69"	1656	2
"85+"	"F"	1999	"I70-I78"	355.4	10
"85+"	"F"	1999	"J09-J18"	694.2	5
"85+"	"F"	1999	"J40-J47"	504.6	8
"85+"	"F"	2000	"C00-C97"	1456.4	3
"85+"	"F"	2000	"F01-F09"	584.9	7
"85+"	"F"	2000	"G30-G31"	734.1	5
"85+"	"F"	2000	"I10-I15"	409.3	9
"85+"	"F"	2000	"I20-I25"	3971	1
"85+"	"F"	2000	"I30-I51"	1434.8	4
"85+"	"F"	2000	"I60-I69"	1632	2
"85+"	"F"	2000	"I70-I78"	336	10
"85+"	"F"	2000	"J09-J18"	683.9	6
"85+"	"F"	2000	"J40-J47"	518.5	8
"85+"	"M"	1999	"C00-C97"	2722.2	2
"85+"	"M"	1999	"F01-F09"	391.5	9
"85+"	"M"	1999	"G30-G31"	493	7
"85+"	"M"	1999	"I20-I25"	4837.5	1
"85+"	"M"	1999	"I30-I51"	1488.5	4
"85+"	"M"	1999	"I60-I69"	1512.8	3
"85+"	"M"	1999	"I70-I78"	396.5	8
"85+"	"M"	1999	"J09-J18"	894.7	6
"85+"	"M"	1999	"J40-J47"	996.7	5
"85+"	"M"	1999	"N17-N19"	364.6	10
"85+"	"M"	2000	"C00-C97"	2710.7	2
"85+"	"M"	2000	"F01-F09"	427.3	8
